
A T O M   T Y P E S

IDX	TYPE	RING
 5110    427.41355    427.41524
 5120    427.39955    427.40076
 5130    427.38764    427.38883
 5140    427.37576    427.37695
 5150    427.36384    427.36504
 5160    427.35182    427.35303
 5170    427.33968    427.34090
 5180    427.32735    427.32859
 5190    427.31487    427.31613
 5200    427.30219    427.30347
 5210    427.28939    427.29068
 5220    427.27641    427.27771
 5230    427.26333    427.26465
 5240    427.25007    427.25140
 5250    427.23664    427.23800
 5260    427.22298    427.22435
 5270    427.20915    427.21054
 5280    427.19513    427.19654
 5290    427.18091    427.18234
 5300    427.16653    427.16797
 5310    427.15202    427.15348
 5320    427.13733    427.13881
 5330    427.12244    427.12395
 5340    427.10715    427.10870
 5350    427.09157    427.09314
 5360    427.07569    427.07729
 5370    427.05952    427.06115
 5380    427.04321    427.04485
 5390    427.02670    427.02835
 5400    427.01003    427.01171
 5410    426.99316    426.99486
 5420    426.97688    426.97838
 5430    426.96397    426.96515
 5440    426.95232    426.95349
 5450    426.94069    426.94185
 5460    426.92897    426.93015
 5470    426.91709    426.91829
 5480    426.90507    426.90628
 5490    426.89297    426.89419
 5500    426.88081    426.88203
 5510    426.86867    426.86989
 5520    426.85648    426.85771
 5530    426.84423    426.84546
 5540    426.83186    426.83311
 5550    426.81935    426.82061
 5560    426.80664    426.80792
 5570    426.79377    426.79506
 5580    426.78081    426.78211
 5590    426.76769    426.76902
 5600    426.75428    426.75564
 5610    426.74061    426.74198
 5620    426.72685    426.72824
 5630    426.71281    426.71423
 5640    426.69847    426.69992
 5650    426.68401    426.68546
 5660    426.66945    426.67092
 5670    426.65460    426.65609
 5680    426.63949    426.64102
 5690    426.62407    426.62563
 5700    426.60850    426.61006
 5710    426.59271    426.59431
 5720    426.57657    426.57820
 5730    426.56027    426.56190
 5740    426.54453    426.54595
 5750    426.53255    426.53366
 5760    426.52155    426.52266
 5770    426.51050    426.51161
 5780    426.49936    426.50048
 5790    426.48810    426.48924
 5800    426.47671    426.47785
 5810    426.46517    426.46633
 5820    426.45352    426.45470
 5830    426.44171    426.44290
 5840    426.42976    426.43096
 5850    426.41760    426.41883
 5860    426.40530    426.40653
 5870    426.39282    426.39408
 5880    426.38009    426.38137
 5890    426.36719    426.36849
 5900    426.35411    426.35542
 5910    426.34093    426.34225
 5920    426.32763    426.32898
 5930    426.31407    426.31544
 5940    426.30033    426.30172
 5950    426.28632    426.28773
 5960    426.27205    426.27350
 5970    426.25766    426.25912
 5980    426.24305    426.24453
 5990    426.22817    426.22966
 6000    426.21312    426.21464
 6010    426.19778    426.19932
 6020    426.18277    426.18416
 6030    426.17086    426.17194
 6040    426.16019    426.16126
 6050    426.14945    426.15053
 6060    426.13855    426.13964
 6070    426.12758    426.12868
 6080    426.11652    426.11763
 6090    426.10533    426.10646
 6100    426.09397    426.09511
 6110    426.08246    426.08362
 6120    426.07078    426.07194
 6130    426.05911    426.06028
 6140    426.04732    426.04851
 6150    426.03538    426.03658
 6160    426.02332    426.02454
 6170    426.01115    426.01238
 6180    425.99894    426.00016
 6190    425.98665    425.98789
 6200    425.97419    425.97545
 6210    425.96162    425.96288
 6220    425.94884    425.95013
 6230    425.93574    425.93707
 6240    425.92233    425.92369
 6250    425.90858    425.90997
 6260    425.89450    425.89591
 6270    425.88017    425.88162
 6280    425.86574    425.86719
